--------- beginning of main
--------- beginning of system
05-27 15:47:08.221  9417  9417 I CT_REPRO: E02_state_inference_oracle | 1779868028221 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:47:09.660  9417  9417 I CT_REPRO: E02_state_inference_oracle | 1779868029660 | 2 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:47:10.005  9417  9417 I CT_REPRO: E02_state_inference_oracle | 1779868030005 | 347 | TAB_SHOWN | 5 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1621994}
05-27 15:47:10.055  9417  9417 I CT_REPRO: E02_state_inference_oracle | 1779868030055 | 397 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1622044}
05-27 15:47:11.067  9417  9417 I CT_REPRO: E02_state_inference_oracle | 1779868031067 | 1409 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1623067}
05-27 15:47:16.246  9417  9417 I CT_REPRO: E02_state_inference_oracle | 1779868036245 | 6587 | TAB_HIDDEN | 6 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1628245}
05-27 15:47:18.651  9551  9551 I CT_REPRO: E02_state_inference_oracle | 1779868038650 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:47:18.688  9551  9551 I CT_REPRO: E02_state_inference_oracle | 1779868038688 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:47:20.122  9551  9551 I CT_REPRO: E02_state_inference_oracle | 1779868040122 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:47:20.487  9551  9551 I CT_REPRO: E02_state_inference_oracle | 1779868040486 | 365 | TAB_SHOWN | 5 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1632468}
05-27 15:47:20.520  9551  9551 I CT_REPRO: E02_state_inference_oracle | 1779868040520 | 399 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1632518}
05-27 15:47:21.539  9551  9551 I CT_REPRO: E02_state_inference_oracle | 1779868041539 | 1418 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1633538}
